name,reviews.text,sentence,sentiment,emotion
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.,I thought it would be as big as small paper but turn out to be just like my palm,NEGATIVE,disappointed
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","Didnt know how much i'd use a kindle so went for the lower end. im happy with it, even if its a little dark",Didnt know how much i'd use a kindle so went for the lower end,NEGATIVE,angry
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last."," The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books",NEGATIVE,annoyed
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.", I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit,NEGATIVE,disappointed
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last."," This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard",NEGATIVE,sentimental
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.", Lol) and it most likely won't be my last,NEGATIVE,sad
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com."," I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere",NEGATIVE,anxious
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",I bought my Kindle about 2 months ago and the battery is already dead and will not charge,I bought my Kindle about 2 months ago and the battery is already dead and will not charge,NEGATIVE,annoyed
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy., The only difficulty sometimes is reading in extremely bright environments,NEGATIVE,anxious
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Everything is great except that i can't read external pdfs properly. Either it zooms too much of too little. For kindle books it provides great experience. Battery life is awesome!, Either it zooms too much of too little,NEGATIVE,annoyed
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.", I got it home and couldn't adjust the brightness,NEGATIVE,annoyed
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.", After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it,NEGATIVE,disappointed
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it."," Although it looks Identical to the $120 model, you can not adjust the brightness",NEGATIVE,annoyed
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",This is a nice bare-bones reading device. Easy to set up and use. My greatest issue is that it isn't back lit so it can't be used w/o a light on in the room. Returning it an purchasing a paperwhite instead., My greatest issue is that it isn't back lit so it can't be used w/o a light on in the room,NEGATIVE,annoyed
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",This is a nice bare-bones reading device. Easy to set up and use. My greatest issue is that it isn't back lit so it can't be used w/o a light on in the room. Returning it an purchasing a paperwhite instead., Returning it an purchasing a paperwhite instead,NEGATIVE,disappointed
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",My husband loves this Kindle. He has a muscular disease keeping him from being able to handle anything with much weight at all. This is perfect., He has a muscular disease keeping him from being able to handle anything with much weight at all,NEGATIVE,annoyed
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I like this e reader, but wish the screen were higher resolution. It requires decent light to look good, but it is easy on my eyes. The screen updates involve flashing the whole screen, which I noticed less over time. The advertised month long battery life is just standby time, it lasts much less if you are downloading and reading books.","I like this e reader, but wish the screen were higher resolution",NEGATIVE,annoyed
