name,reviews.text,sentence,sentiment
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.,I thought it would be as big as small paper but turn out to be just like my palm,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead., I think it is too small to read on it,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead., not very comfortable as regular Kindle,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead., Would definitely recommend a paperwhite instead,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","Didnt know how much i'd use a kindle so went for the lower end. im happy with it, even if its a little dark",Didnt know how much i'd use a kindle so went for the lower end,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last."," The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books",NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.", I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last."," This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard",NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.", Lol) and it most likely won't be my last,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun., Don't expect much from this device except to read basic ebooks,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com."," I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere",NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com.", You can shop for e-books straight from the device through Amazon,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",I bought my Kindle about 2 months ago and the battery is already dead and will not charge,I bought my Kindle about 2 months ago and the battery is already dead and will not charge,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","It's beyond my expectation, and it can even show music score. Not fast turning though.", Not fast turning though,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy., The only difficulty sometimes is reading in extremely bright environments,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I use this every day on my commute. Great battery life, no backlight but very readable with normal lighting. I like the built in dictionary. Email yourself pdf or mobi files for easy transfers.",I use this every day on my commute,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I use this every day on my commute. Great battery life, no backlight but very readable with normal lighting. I like the built in dictionary. Email yourself pdf or mobi files for easy transfers.", Email yourself pdf or mobi files for easy transfers,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",It does its job but I would buy one which the screen is brighter. There are times that it's difficult to read because screen is not too bright, There are times that it's difficult to read because screen is not too bright,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Everything is great except that i can't read external pdfs properly. Either it zooms too much of too little. For kindle books it provides great experience. Battery life is awesome!, Either it zooms too much of too little,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.",I was looking for a kindle whitepaper,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.", I saw online for $80,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.", I ordered it on line and picked it up in the store,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.", I got it home and couldn't adjust the brightness,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.", After a lengthy time with online customer service I called customer service,NEGATIVE
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.", After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it,NEGATIVE
